d_estado,d_ciudad,concatenadociudadestado
Chiapas,Pijijiapan,"Pijijiapan,Chiapas"
Veracruz de Ignacio de la Llave,Platón Sánchez,"Platón Sánchez,Veracruz de Ignacio de la Llave"
Quintana Roo,Playa del Carmen,"Playa del Carmen,Quintana Roo"
Veracruz de Ignacio de la Llave,Playa Vicente,"Playa Vicente,Veracruz de Ignacio de la Llave"
Baja California,Playas de Rosarito,"Playas de Rosarito,Baja California"
Campeche,Pomuch,"Pomuch,Campeche"
Jalisco,Poncitlán,"Poncitlán,Jalisco"
Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,"Poza Rica de Hidalgo,Veracruz de Ignacio de la Llave"
Morelos,Puente de Ixtla,"Puente de Ixtla,Morelos"
Baja California Sur,Puerto Adolfo López Mateos,"Puerto Adolfo López Mateos,Baja California Sur"
Oaxaca,Puerto Escondido,"Puerto Escondido,Oaxaca"
Chiapas,Puerto Madero (San Benito),"Puerto Madero (San Benito),Chiapas"
Sonora,Puerto Peñasco,"Puerto Peñasco,Sonora"
Jalisco,Puerto Vallarta,"Puerto Vallarta,Jalisco"
Guanajuato,Purísima de Bustos,"Purísima de Bustos,Guanajuato"
Michoacán de Ocampo,Puruándiro,"Puruándiro,Michoacán de Ocampo"
Oaxaca,Putla Villa de Guerrero,"Putla Villa de Guerrero,Oaxaca"
Sinaloa,Quilá,"Quilá,Sinaloa"
Coahuila de Zaragoza,Ramos Arizpe,"Ramos Arizpe,Coahuila de Zaragoza"
Chiapas,Reforma,"Reforma,Chiapas"
Tamaulipas,Reynosa,"Reynosa,Tamaulipas"
Aguascalientes,Rincón de Romos,"Rincón de Romos,Aguascalientes"
Guanajuato,Rincón de Tamayo,"Rincón de Tamayo,Guanajuato"
Veracruz de Ignacio de la Llave,Río Blanco,"Río Blanco,Veracruz de Ignacio de la Llave"
Zacatecas,Río Grande,"Río Grande,Zacatecas"
Oaxaca,Río Grande o Piedra Parada,"Río Grande o Piedra Parada,Oaxaca"
San Luis Potosí,Rioverde,"Rioverde,San Luis Potosí"
Baja California,Rodolfo Sánchez Taboada (Maneadero),"Rodolfo Sánchez Taboada (Maneadero),Baja California"
Guanajuato,Romita,"Romita,Guanajuato"
Nayarit,Ruíz,"Ruíz,Nayarit"
Campeche,Sabancuy,"Sabancuy,Campeche"
Coahuila de Zaragoza,Sabinas,"Sabinas,Coahuila de Zaragoza"
Michoacán de Ocampo,Sahuayo de Morelos,"Sahuayo de Morelos,Michoacán de Ocampo"
Guanajuato,Salamanca,"Salamanca,Guanajuato"
Oaxaca,Salina Cruz,"Salina Cruz,Oaxaca"
San Luis Potosí,Salinas de Hidalgo,"Salinas de Hidalgo,San Luis Potosí"
Coahuila de Zaragoza,Saltillo,"Saltillo,Coahuila de Zaragoza"
Guanajuato,Salvatierra,"Salvatierra,Guanajuato"
Puebla,San Andrés Cholula,"San Andrés Cholula,Puebla"
Veracruz de Ignacio de la Llave,San Andrés Tuxtla,"San Andrés Tuxtla,Veracruz de Ignacio de la Llave"
Oaxaca,San Antonio de la Cal,"San Antonio de la Cal,Oaxaca"
Nayarit,San Blas,"San Blas,Nayarit"
Sinaloa,San Blas,"San Blas,Sinaloa"
Oaxaca,San Blas Atempa,"San Blas Atempa,Oaxaca"
Coahuila de Zaragoza,San Buenaventura,"San Buenaventura,Coahuila de Zaragoza"
Chiapas,San Cristóbal de las Casas,"San Cristóbal de las Casas,Chiapas"
Jalisco,San Diego de Alejandría,"San Diego de Alejandría,Jalisco"
Guanajuato,San Diego de la Unión,"San Diego de la Unión,Guanajuato"
Baja California,San Felipe,"San Felipe,Baja California"
Oaxaca,San Felipe Jalapa de Díaz,"San Felipe Jalapa de Díaz,Oaxaca"
Tamaulipas,San Fernando,"San Fernando,Tamaulipas"
Campeche,San Francisco de Campeche,"San Francisco de Campeche,Campeche"
Aguascalientes,San Francisco de los Romo,"San Francisco de los Romo,Aguascalientes"
Guanajuato,San Francisco del Rincón,"San Francisco del Rincón,Guanajuato"
Oaxaca,San Francisco Ixhuatán,"San Francisco Ixhuatán,Oaxaca"
Oaxaca,San Francisco Telixtlahuaca,"San Francisco Telixtlahuaca,Oaxaca"
Baja California Sur,San Ignacio,"San Ignacio,Baja California Sur"
Sinaloa,San Ignacio,"San Ignacio,Sinaloa"
Jalisco,San Ignacio Cerro Gordo,"San Ignacio Cerro Gordo,Jalisco"
Guerrero,San Jerónimo de Juárez,"San Jerónimo de Juárez,Guerrero"
Baja California Sur,San José del Cabo,"San José del Cabo,Baja California Sur"
Jalisco,San José el Verde (El Verde),"San José el Verde (El Verde),Jalisco"
Guanajuato,San José Iturbide,"San José Iturbide,Guanajuato"
Oaxaca,San Juan Bautista Cuicatlán,"San Juan Bautista Cuicatlán,Oaxaca"
Oaxaca,San Juan Bautista Lo de Soto,"San Juan Bautista Lo de Soto,Oaxaca"
Oaxaca,San Juan Bautista Tuxtepec,"San Juan Bautista Tuxtepec,Oaxaca"
Oaxaca,San Juan Bautista Valle Nacional,"San Juan Bautista Valle Nacional,Oaxaca"
Oaxaca,San Juan Cacahuatepec,"San Juan Cacahuatepec,Oaxaca"
Jalisco,San Juan de los Lagos,"San Juan de los Lagos,Jalisco"
Querétaro,San Juan del Rio,"San Juan del Rio,Querétaro"
Durango,San Juan del Río del Centauro del Norte,"San Juan del Río del Centauro del Norte,Durango"
Jalisco,San Julián,"San Julián,Jalisco"
Guerrero,San Luis Acatlán,"San Luis Acatlán,Guerrero"
Guerrero,San Luis de la Loma,"San Luis de la Loma,Guerrero"
Guanajuato,San Luis de la Paz,"San Luis de la Paz,Guanajuato"
San Luis Potosí,San Luis Potosí,"San Luis Potosí,San Luis Potosí"
Sonora,San Luis Río Colorado,"San Luis Río Colorado,Sonora"
Guerrero,San Luis San Pedro,"San Luis San Pedro,Guerrero"
Guerrero,San Marcos,"San Marcos,Guerrero"
Puebla,San Martín Texmelucan de Labastida,"San Martín Texmelucan de Labastida,Puebla"
México,San Mateo Atenco,"San Mateo Atenco,México"
Guanajuato,San Miguel de Allende,"San Miguel de Allende,Guanajuato"
Jalisco,San Miguel el Alto,"San Miguel el Alto,Jalisco"
Oaxaca,San Miguel el Grande,"San Miguel el Grande,Oaxaca"
Hidalgo,San Miguel Vindho,"San Miguel Vindho,Hidalgo"
Nuevo León,San Nicolás de los Garza,"San Nicolás de los Garza,Nuevo León"
Oaxaca,San Pablo Huitzo,"San Pablo Huitzo,Oaxaca"
Oaxaca,San Pablo Villa de Mitla,"San Pablo Villa de Mitla,Oaxaca"
Coahuila de Zaragoza,San Pedro,"San Pedro,Coahuila de Zaragoza"
Puebla,San Pedro Cholula,"San Pedro Cholula,Puebla"
Nuevo León,San Pedro Garza García,"San Pedro Garza García,Nuevo León"
Nayarit,San Pedro Lagunillas,"San Pedro Lagunillas,Nayarit"
Oaxaca,San Pedro Mixtepec Distrito 22,"San Pedro Mixtepec Distrito 22,Oaxaca"
Oaxaca,San Pedro Pochutla,"San Pedro Pochutla,Oaxaca"
Oaxaca,San Pedro Tapanatepec,"San Pedro Tapanatepec,Oaxaca"
Oaxaca,San Pedro Totolápam,"San Pedro Totolápam,Oaxaca"
Veracruz de Ignacio de la Llave,San Rafael,"San Rafael,Veracruz de Ignacio de la Llave"
Oaxaca,San Sebastián Tecomaxtlahuaca,"San Sebastián Tecomaxtlahuaca,Oaxaca"
Oaxaca,Santa Cruz Itundujia,"Santa Cruz Itundujia,Oaxaca"
Guanajuato,Santa Cruz Juventino Rosas,"Santa Cruz Juventino Rosas,Guanajuato"
Oaxaca,Santa Lucía del Camino,"Santa Lucía del Camino,Oaxaca"
Durango,Santa María del Oro,"Santa María del Oro,Durango"
San Luis Potosí,Santa María del Río,"Santa María del Río,San Luis Potosí"
Oaxaca,Santa María Huatulco,"Santa María Huatulco,Oaxaca"
México,Santa Maria Tultepec,"Santa Maria Tultepec,México"
Morelos,Santa Rosa Treinta,"Santa Rosa Treinta,Morelos"
Baja California Sur,Santa Rosalía,"Santa Rosalía,Baja California Sur"
Chihuahua,Santa Rosalía de Camargo,"Santa Rosalía de Camargo,Chihuahua"
Nuevo León,Santiago,"Santiago,Nuevo León"
Querétaro,Santiago de Querétaro,"Santiago de Querétaro,Querétaro"
Nayarit,Santiago Ixcuintla,"Santiago Ixcuintla,Nayarit"
Oaxaca,Santiago Jamiltepec,"Santiago Jamiltepec,Oaxaca"
Oaxaca,Santiago Juxtlahuaca,"Santiago Juxtlahuaca,Oaxaca"
Guanajuato,Santiago Maravatío,"Santiago Maravatío,Guanajuato"
Durango,Santiago Papasquiaro,"Santiago Papasquiaro,Durango"
Oaxaca,Santiago Pinotepa Nacional,"Santiago Pinotepa Nacional,Oaxaca"
Oaxaca,Santiago Suchilquitongo,"Santiago Suchilquitongo,Oaxaca"
Hidalgo,Santiago Tulantepec,"Santiago Tulantepec,Hidalgo"
Veracruz de Ignacio de la Llave,Santiago Tuxtla,"Santiago Tuxtla,Veracruz de Ignacio de la Llave"
Oaxaca,Santo Domingo Tehuantepec,"Santo Domingo Tehuantepec,Oaxaca"
Chihuahua,Saucillo,"Saucillo,Chihuahua"
Jalisco,Sayula,"Sayula,Jalisco"
Veracruz de Ignacio de la Llave,Sihuapan,"Sihuapan,Veracruz de Ignacio de la Llave"
Guanajuato,Silao,"Silao,Guanajuato"
Sinaloa,Sinaloa de Leyva,"Sinaloa de Leyva,Sinaloa"
Veracruz de Ignacio de la Llave,Soledad de Doblado,"Soledad de Doblado,Veracruz de Ignacio de la Llave"
San Luis Potosí,Soledad de Graciano Sánchez,"Soledad de Graciano Sánchez,San Luis Potosí"
Zacatecas,Sombrerete,"Sombrerete,Zacatecas"
Sonora,Sonoyta,"Sonoyta,Sonora"
Tamaulipas,Soto la Marina,"Soto la Marina,Tamaulipas"
Michoacán de Ocampo,Tacámbaro de Codallos,"Tacámbaro de Codallos,Michoacán de Ocampo"
Jalisco,Tala,"Tala,Jalisco"
Jalisco,Talpa de Allende,"Talpa de Allende,Jalisco"
San Luis Potosí,Tamasopo,"Tamasopo,San Luis Potosí"
Jalisco,Tamazula de Gordiano,"Tamazula de Gordiano,Jalisco"
San Luis Potosí,Tamazunchale,"Tamazunchale,San Luis Potosí"
Tamaulipas,Tampico,"Tampico,Tamaulipas"
Veracruz de Ignacio de la Llave,Tampico Alto,"Tampico Alto,Veracruz de Ignacio de la Llave"
San Luis Potosí,Tamuín,"Tamuín,San Luis Potosí"
Michoacán de Ocampo,Tangancícuaro de Arista,"Tangancícuaro de Arista,Michoacán de Ocampo"
Veracruz de Ignacio de la Llave,Tantoyuca,"Tantoyuca,Veracruz de Ignacio de la Llave"
Chiapas,Tapachula de Córdova y Ordóñez,"Tapachula de Córdova y Ordóñez,Chiapas"
Guanajuato,Tarandacuao,"Tarandacuao,Guanajuato"
Guerrero,Taxco de Alarcón,"Taxco de Alarcón,Guerrero"
Tabasco,Teapa,"Teapa,Tabasco"
Jalisco,Tecalitlán,"Tecalitlán,Jalisco"
México,Tecámac de Felipe Villanueva,"Tecámac de Felipe Villanueva,México"
Puebla,Tecamachalco,"Tecamachalco,Puebla"
Baja California,Tecate,"Tecate,Baja California"
Colima,Tecomán,"Tecomán,Colima"
Guerrero,Técpan de Galeana,"Técpan de Galeana,Guerrero"
Nayarit,Tecuala,"Tecuala,Nayarit"
Puebla,Tehuacán,"Tehuacán,Puebla"
México,Tejupilco de Hidalgo,"Tejupilco de Hidalgo,México"
Guerrero,Teloloapan,"Teloloapan,Guerrero"
Morelos,Temixco,"Temixco,Morelos"
Veracruz de Ignacio de la Llave,Tempoal de Sánchez,"Tempoal de Sánchez,Veracruz de Ignacio de la Llave"
Tabasco,Tenosique de Pino Suárez,"Tenosique de Pino Suárez,Tabasco"
Jalisco,Teocaltiche,"Teocaltiche,Jalisco"
Oaxaca,Teotitlán de Flores Magón,"Teotitlán de Flores Magón,Oaxaca"
Jalisco,Tepatitlán de Morelos,"Tepatitlán de Morelos,Jalisco"
Puebla,Tepeaca,"Tepeaca,Puebla"
Hidalgo,Tepeapulco,"Tepeapulco,Hidalgo"
Hidalgo,Tepeji del Río de Ocampo,"Tepeji del Río de Ocampo,Hidalgo"
Aguascalientes,Tepezalá,"Tepezalá,Aguascalientes"
Nayarit,Tepic,"Tepic,Nayarit"
México,Tepotzotlán,"Tepotzotlán,México"
Jalisco,Tequila,"Tequila,Jalisco"
México,Tequixquiac,"Tequixquiac,México"
México,Texcoco de Mora,"Texcoco de Mora,México"
Puebla,Teziutlán,"Teziutlán,Puebla"
Veracruz de Ignacio de la Llave,Tezonapa,"Tezonapa,Veracruz de Ignacio de la Llave"
Yucatán,Ticul,"Ticul,Yucatán"
Veracruz de Ignacio de la Llave,Tierra Blanca,"Tierra Blanca,Veracruz de Ignacio de la Llave"
Guerrero,Tierra Colorada,"Tierra Colorada,Guerrero"
San Luis Potosí,Tierra Nueva,"Tierra Nueva,San Luis Potosí"
Veracruz de Ignacio de la Llave,Tihuatlán,"Tihuatlán,Veracruz de Ignacio de la Llave"
Baja California,Tijuana,"Tijuana,Baja California"
Guerrero,Tixtla de Guerrero,"Tixtla de Guerrero,Guerrero"
Hidalgo,Tizayuca,"Tizayuca,Hidalgo"
Yucatán,Tizimín,"Tizimín,Yucatán"
Veracruz de Ignacio de la Llave,Tlacojalpan,"Tlacojalpan,Veracruz de Ignacio de la Llave"
Oaxaca,Tlacolula de Matamoros,"Tlacolula de Matamoros,Oaxaca"
Jalisco,Tlajomulco de Zúñiga,"Tlajomulco de Zúñiga,Jalisco"
México,Tlalnepantla de Baz,"Tlalnepantla de Baz,México"
Guerrero,Tlapa de Comonfort,"Tlapa de Comonfort,Guerrero"
Veracruz de Ignacio de la Llave,Tlapacoyan,"Tlapacoyan,Veracruz de Ignacio de la Llave"
Guerrero,Tlapehuala,"Tlapehuala,Guerrero"
Jalisco,Tlaquepaque,"Tlaquepaque,Jalisco"
Morelos,Tlaquiltenango,"Tlaquiltenango,Morelos"
Tlaxcala,Tlaxcala de Xicohténcatl,"Tlaxcala de Xicohténcatl,Tlaxcala"
Hidalgo,Tlaxcoapan,"Tlaxcoapan,Hidalgo"
Baja California Sur,Todos Santos,"Todos Santos,Baja California Sur"
México,Toluca de Lerdo,"Toluca de Lerdo,México"
Chiapas,Tonalá,"Tonalá,Chiapas"
Jalisco,Tonalá,"Tonalá,Jalisco"
Sinaloa,Topolobampo,"Topolobampo,Sinaloa"
Coahuila de Zaragoza,Torreón,"Torreón,Coahuila de Zaragoza"
Jalisco,Tototlán,"Tototlán,Jalisco"
Veracruz de Ignacio de la Llave,Tres Valles,"Tres Valles,Veracruz de Ignacio de la Llave"
Hidalgo,Tula de Allende,"Tula de Allende,Hidalgo"
Hidalgo,Tulancingo,"Tulancingo,Hidalgo"
México,Tultitlán de Mariano Escobedo,"Tultitlán de Mariano Escobedo,México"
Veracruz de Ignacio de la Llave,Túxpam de Rodríguez Cano,"Túxpam de Rodríguez Cano,Veracruz de Ignacio de la Llave"
Jalisco,Tuxpan,"Tuxpan,Jalisco"
Michoacán de Ocampo,Tuxpan,"Tuxpan,Michoacán de Ocampo"
Nayarit,Tuxpan,"Tuxpan,Nayarit"
Chiapas,Tuxtla Gutiérrez,"Tuxtla Gutiérrez,Chiapas"
Jalisco,Unión de San Antonio,"Unión de San Antonio,Jalisco"
Oaxaca,Unión Hidalgo,"Unión Hidalgo,Oaxaca"
Guanajuato,Uriangato,"Uriangato,Guanajuato"
Michoacán de Ocampo,Uruapan,"Uruapan,Michoacán de Ocampo"
Yucatán,Valladolid,"Valladolid,Yucatán"
México,Valle de Chalco Solidaridad,"Valle de Chalco Solidaridad,México"
Jalisco,Valle de Guadalupe,"Valle de Guadalupe,Jalisco"
Guanajuato,Valle de Santiago,"Valle de Santiago,Guanajuato"
Tamaulipas,Valle Hermoso,"Valle Hermoso,Tamaulipas"
Zacatecas,Valparaíso,"Valparaíso,Zacatecas"
Chiapas,Venustiano Carranza,"Venustiano Carranza,Chiapas"
Veracruz de Ignacio de la Llave,Veracruz,"Veracruz,Veracruz de Ignacio de la Llave"
Oaxaca,Vicente Camalote,"Vicente Camalote,Oaxaca"
Durango,Vicente Guerrero,"Vicente Guerrero,Durango"
Zacatecas,Víctor Rosales,"Víctor Rosales,Zacatecas"
Durango,Victoria de Durango,"Victoria de Durango,Durango"
Coahuila de Zaragoza,Viesca,"Viesca,Coahuila de Zaragoza"
Baja California Sur,Villa Alberto Andrés Alvarado Arámburo,"Villa Alberto Andrés Alvarado Arámburo,Baja California Sur"
Jalisco,Villa Corona,"Villa Corona,Jalisco"
Zacatecas,Villa de Cos,"Villa de Cos,Zacatecas"
San Luis Potosí,Villa de Reyes,"Villa de Reyes,San Luis Potosí"
Oaxaca,Villa de Tamazulápam del Progreso,"Villa de Tamazulápam del Progreso,Oaxaca"
Oaxaca,Villa de Zaachila,"Villa de Zaachila,Oaxaca"
Jalisco,Villa Hidalgo,"Villa Hidalgo,Jalisco"
Zacatecas,Villa Hidalgo,"Villa Hidalgo,Zacatecas"
Nayarit,Villa Hidalgo (El Nuevo),"Villa Hidalgo (El Nuevo),Nayarit"
Jalisco,Villa Purificación,"Villa Purificación,Jalisco"
Oaxaca,Villa Sola de Vega,"Villa Sola de Vega,Oaxaca"
Sinaloa,Villa Unión,"Villa Unión,Sinaloa"
Tlaxcala,Villa Vicente Guerrero,"Villa Vicente Guerrero,Tlaxcala"
Chiapas,Villaflores,"Villaflores,Chiapas"
Guanajuato,Villagrán,"Villagrán,Guanajuato"
Tabasco,Villahermosa,"Villahermosa,Tabasco"
Zacatecas,Villanueva,"Villanueva,Zacatecas"
Veracruz de Ignacio de la Llave,Xalapa-Enríquez,"Xalapa-Enríquez,Veracruz de Ignacio de la Llave"
Nayarit,Xalisco,"Xalisco,Nayarit"
Tamaulipas,Xicoténcatl,"Xicoténcatl,Tamaulipas"
Puebla,Xicotepec,"Xicotepec,Puebla"
México,Xonacatlán,"Xonacatlán,México"
Jalisco,Yahualica de González Gallo,"Yahualica de González Gallo,Jalisco"
Morelos,Yautepec de Zaragoza,"Yautepec de Zaragoza,Morelos"
Veracruz de Ignacio de la Llave,Yecuatla,"Yecuatla,Veracruz de Ignacio de la Llave"
Michoacán de Ocampo,Yurécuaro,"Yurécuaro,Michoacán de Ocampo"
Guanajuato,Yuriria,"Yuriria,Guanajuato"
Michoacán de Ocampo,Zacapu,"Zacapu,Michoacán de Ocampo"
Zacatecas,Zacatecas,"Zacatecas,Zacatecas"
Morelos,Zacatepec de Hidalgo,"Zacatepec de Hidalgo,Morelos"
Puebla,Zacatlán,"Zacatlán,Puebla"
Jalisco,Zacoalco de Torres,"Zacoalco de Torres,Jalisco"
Michoacán de Ocampo,Zamora de Hidalgo,"Zamora de Hidalgo,Michoacán de Ocampo"
Jalisco,Zapopan,"Zapopan,Jalisco"
Jalisco,Zapotiltic,"Zapotiltic,Jalisco"
Coahuila de Zaragoza,Zaragoza,"Zaragoza,Coahuila de Zaragoza"
Guerrero,Zihuatanejo,"Zihuatanejo,Guerrero"
Hidalgo,Zimapán,"Zimapán,Hidalgo"
Oaxaca,Zimatlán de Álvarez,"Zimatlán de Álvarez,Oaxaca"
Michoacán de Ocampo,Zinapécuaro de Figueroa,"Zinapécuaro de Figueroa,Michoacán de Ocampo"
México,Zumpango,"Zumpango,México"
Guerrero,Zumpango del Río,"Zumpango del Río,Guerrero"
